episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,replay_type,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
130,47589,0.05,,400,8.0,10.2,2.581892,10000,prioritized,0.6,1.0,3.094771,67.413521,4.109268,-49.033428,65.064651,218.706512
131,47989,0.05,,400,7.8,6.8,2.948951,10000,prioritized,0.6,1.0,3.397964,73.283211,4.421681,-47.31752,69.109413,224.212021
132,48389,0.05,,400,6.0,5.6,2.694503,10000,prioritized,0.6,1.0,3.183983,73.283211,4.374767,-49.202381,68.944992,230.321487
133,48789,0.05,,400,6.8,6.6,2.744674,10000,prioritized,0.6,1.0,3.294219,73.283211,4.305177,-50.71257,69.420769,232.231171
134,49189,0.05,,400,10.2,9.6,2.716513,10000,prioritized,0.6,1.0,3.391392,74.203239,4.664745,-49.274384,69.370819,232.557648
135,49589,0.05,,400,9.4,7.8,2.955075,10000,prioritized,0.6,1.0,3.374067,74.203239,4.432445,-52.161182,73.512566,244.123062
136,49989,0.05,,400,9.2,11.2,3.296504,10000,prioritized,0.6,1.0,3.584656,74.203239,4.575943,-53.592228,74.174461,244.914597
137,50389,0.05,,400,9.2,15.2,3.47276,10000,prioritized,0.6,1.0,3.753895,74.203239,4.666105,-50.894585,78.319824,250.806076
138,50789,0.05,,400,5.4,5.4,2.956091,10000,prioritized,0.6,1.0,3.48024,74.203239,4.591897,-53.426231,73.380295,250.237091
139,51189,0.05,,400,7.4,9.2,3.685753,10000,prioritized,0.6,1.0,3.916525,75.740395,4.848637,-53.968361,79.63707,259.442566
140,51589,0.05,,400,10.4,8.6,3.724098,10000,prioritized,0.6,1.0,3.859823,75.994911,5.016991,-52.922482,77.502594,260.445709
141,51989,0.05,,400,8.4,9.6,3.944766,10000,prioritized,0.6,1.0,4.142358,77.674751,5.094953,-56.426502,84.822014,274.321564
142,52389,0.05,,400,8.4,6.0,4.272902,10000,prioritized,0.6,1.0,4.424925,79.493835,5.432925,-49.669434,81.915871,266.145233
143,52789,0.05,,400,6.8,4.4,3.823471,10000,prioritized,0.6,1.0,3.970392,79.949654,4.931652,-59.938236,85.70636,289.062195
144,53189,0.05,,400,8.2,8.4,3.637348,10000,prioritized,0.6,1.0,3.64836,81.297768,4.900231,-67.8517,90.361465,307.241425
145,53589,0.05,,400,12.8,4.6,4.293675,10000,prioritized,0.6,1.0,4.346804,82.864586,5.652737,-58.012871,92.786797,303.078613
146,53989,0.05,,400,4.2,6.6,4.074995,10000,prioritized,0.6,1.0,4.168459,89.306374,5.519182,-66.367485,95.373642,315.905457
147,54389,0.05,,400,5.8,6.8,3.679288,10000,prioritized,0.6,1.0,3.808342,89.306374,5.364743,-71.627304,101.092278,340.652435
148,54789,0.05,,400,4.6,4.8,4.008186,10000,prioritized,0.6,1.0,3.968928,89.306374,5.474013,-73.724686,103.677094,346.180695
149,55189,0.05,,400,4.8,6.6,4.402805,10000,prioritized,0.6,1.0,4.351547,89.306374,5.601159,-67.002747,98.758087,332.264404
150,55589,0.05,,400,5.8,5.0,4.368111,10000,prioritized,0.6,1.0,4.332643,89.306374,5.374938,-70.939766,99.907265,340.10553
151,55989,0.05,,400,11.0,4.8,4.354166,10000,prioritized,0.6,1.0,4.25099,90.725967,5.698718,-74.722305,104.773575,354.619324
152,56389,0.05,,400,12.2,10.0,4.661487,10000,prioritized,0.6,1.0,4.317293,97.355995,5.72433,-77.907394,112.17746,372.996826
153,56789,0.05,,400,4.6,3.4,4.548748,10000,prioritized,0.6,1.0,4.429231,97.355995,5.776635,-76.402733,107.415977,364.469299
154,57189,0.05,,400,12.4,7.2,4.555864,10000,prioritized,0.6,1.0,4.402403,97.355995,5.649903,-78.44088,110.657532,376.955292
155,57589,0.05,,400,6.0,5.8,4.177104,10000,prioritized,0.6,1.0,4.134634,97.355995,5.759115,-82.541893,117.058083,397.184753
156,57989,0.05,,400,5.2,6.0,4.383406,10000,prioritized,0.6,1.0,4.28915,100.545753,5.899838,-84.85553,120.832237,408.589447
157,58389,0.05,,400,6.8,6.6,4.608956,10000,prioritized,0.6,1.0,4.39042,100.545753,5.773199,-93.663048,124.699921,420.126465
158,58789,0.05,,400,10.2,7.4,4.494711,10000,prioritized,0.6,1.0,4.205286,100.545753,5.916821,-101.005394,131.109436,439.391937
159,59189,0.05,,400,6.0,5.4,5.013119,10000,prioritized,0.6,1.0,4.613265,100.545753,6.254826,-88.530121,128.423203,428.693695
160,59589,0.05,,400,6.0,10.2,4.869886,10000,prioritized,0.6,1.0,4.573641,101.856308,6.187632,-101.767464,140.72525,462.41922
161,59989,0.05,,400,6.0,6.8,5.607429,10000,prioritized,0.6,1.0,4.957212,102.222298,6.32029,-93.540428,136.80397,453.53244
162,60389,0.05,,400,7.4,7.6,6.271877,10000,prioritized,0.6,1.0,5.318778,105.238617,7.003239,-82.725716,139.179977,451.924896
163,60789,0.05,,400,5.8,6.6,5.80776,10000,prioritized,0.6,1.0,5.046118,106.102135,6.694038,-98.753128,142.034042,476.902954
164,61189,0.05,,400,4.4,11.4,5.807176,10000,prioritized,0.6,1.0,4.959793,106.544594,6.876244,-99.132835,145.396805,487.257935
165,61589,0.05,,400,6.6,7.0,5.39208,10000,prioritized,0.6,1.0,4.926678,109.263374,6.794039,-104.597832,151.716003,504.689728
166,61989,0.05,,400,9.6,6.6,5.56288,10000,prioritized,0.6,1.0,5.091873,109.263374,7.013787,-101.330566,148.03717,501.503815
167,62389,0.05,,400,12.0,5.4,6.004663,10000,prioritized,0.6,1.0,5.048494,110.952118,7.087948,-107.722832,159.872742,533.036255
168,62789,0.05,,400,9.4,7.2,7.228041,10000,prioritized,0.6,1.0,5.945098,112.407722,7.301126,-94.427834,156.346863,509.565857
169,63189,0.05,,400,7.6,10.4,5.695726,10000,prioritized,0.6,1.0,4.939513,115.59375,7.061029,-115.513924,160.22316,549.380981
170,63589,0.05,,400,6.6,5.8,6.605702,10000,prioritized,0.6,1.0,5.34476,118.407906,7.275548,-112.32254,169.888245,568.01123
171,63989,0.05,,400,6.0,6.2,6.730657,10000,prioritized,0.6,1.0,5.443174,118.407906,7.193751,-123.147736,177.499588,586.869141
172,64389,0.05,,400,10.0,12.4,7.59203,10000,prioritized,0.6,1.0,6.185227,119.989014,7.690053,-102.206123,164.895233,553.180237
173,64789,0.05,,400,6.6,8.0,6.796554,10000,prioritized,0.6,1.0,5.668967,120.244987,7.608459,-123.115448,173.430435,590.540222
174,65189,0.05,,400,11.8,6.4,8.27643,10000,prioritized,0.6,1.0,6.421193,121.195473,8.123625,-109.155281,179.064392,584.622437
175,65589,0.05,,400,9.6,9.8,7.176703,10000,prioritized,0.6,1.0,5.904771,124.572487,8.181556,-131.801697,179.996292,608.827209
176,65989,0.05,,400,9.4,5.0,6.384627,10000,prioritized,0.6,1.0,5.275679,125.321304,7.602827,-156.732727,199.139023,670.582397
177,66389,0.05,,400,6.0,7.4,7.330954,10000,prioritized,0.6,1.0,5.876379,125.72023,7.959468,-149.061783,202.717926,669.617004
178,66789,0.05,,400,6.2,6.0,7.532664,10000,prioritized,0.6,1.0,5.972082,127.306015,8.033897,-146.392319,202.393829,669.770203
179,67189,0.05,,400,6.0,6.4,7.741679,10000,prioritized,0.6,1.0,5.9019,131.564377,8.268161,-158.346191,210.539993,701.973083
