replay_type,seed,episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
uniform,1,158,33795,0.05,-1.0,174,29.33,131.53,0.328945,33795,,,,,,0.304804,0.44768,5.492686
uniform,1,159,33900,0.05,1.0,105,131.87,27.28,0.340224,33900,,,,,,0.319164,0.453582,5.630591
uniform,1,160,34012,0.05,-1.0,112,29.04,131.84,0.273657,34012,,,,,,0.210716,0.403248,4.866071
uniform,1,161,34159,0.05,1.0,147,131.66,29.27,0.288446,34159,,,,,,0.249301,0.443459,5.046157
uniform,1,162,34280,0.05,1.0,121,131.79,27.2,0.281347,34280,,,,,,0.241275,0.417786,4.99231
uniform,1,163,34372,0.05,-1.0,92,24.34,131.94,0.291662,34372,,,,,,0.256685,0.422694,5.12678
uniform,1,164,34476,0.05,-1.0,104,29.68,131.88,0.379685,34476,,,,,,0.341723,0.506336,5.907986
uniform,1,165,34588,0.05,-1.0,112,26.44,131.84,0.354674,34588,,,,,,0.321771,0.479193,5.713528
uniform,1,166,34737,0.05,1.0,149,131.65,26.06,0.333353,34737,,,,,,0.302027,0.45391,5.557077
uniform,1,167,34854,0.05,1.0,117,131.81,29.62,0.236009,34854,,,,,,0.203908,0.353592,4.602311
uniform,1,168,34987,0.05,1.0,133,131.73,26.34,0.435869,34987,,,,,,0.403547,0.550475,6.361515
uniform,1,169,35096,0.05,1.0,109,131.85,26.86,0.324124,35096,,,,,,0.297197,0.488808,5.25681
uniform,1,170,35224,0.05,-1.0,128,26.56,131.76,0.389904,35224,,,,,,0.357328,0.532901,5.934591
uniform,1,171,35518,0.05,-1.0,294,26.33,130.93,0.286253,35518,,,,,,0.253363,0.418225,4.997412
uniform,1,172,35643,0.05,1.0,125,131.77,20.58,0.357514,35643,,,,,,0.323272,0.482502,5.681055
uniform,1,173,35757,0.05,-1.0,114,28.83,131.83,0.213368,35757,,,,,,0.181356,0.336613,4.25844
uniform,1,174,35855,0.05,-1.0,98,26.91,131.91,0.369309,35855,,,,,,0.332582,0.490016,5.790109
uniform,1,175,35949,0.05,-1.0,94,26.73,131.93,0.367923,35949,,,,,,0.334526,0.485805,5.789685
uniform,1,176,36056,0.05,1.0,107,131.86,24.07,0.399295,36056,,,,,,0.32601,0.560779,5.886443
uniform,1,177,36180,0.05,-1.0,124,27.38,131.78,0.342052,36180,,,,,,0.290073,0.491332,5.476331
uniform,1,178,36278,0.05,-1.0,98,26.11,131.91,0.245239,36278,,,,,,0.187499,0.387951,4.515054
uniform,1,179,36376,0.05,-1.0,98,26.11,131.91,0.281217,36376,,,,,,0.234805,0.417674,4.936933
uniform,1,180,36486,0.05,-1.0,110,28.65,131.85,0.436012,36486,,,,,,0.389856,0.570704,6.297236
uniform,1,181,36628,0.05,-1.0,142,28.89,131.69,0.344396,36628,,,,,,0.30158,0.475115,5.5599
uniform,1,182,36906,0.05,-1.0,278,28.81,131.01,0.338996,36906,,,,,,0.296635,0.466104,5.517575
uniform,1,183,37035,0.05,1.0,129,131.75,29.36,0.441697,37035,,,,,,0.403422,0.591076,6.246459
uniform,1,184,37238,0.05,1.0,203,131.38,29.19,0.412199,37238,,,,,,0.371722,0.565071,6.036374
uniform,1,185,37381,0.05,1.0,143,131.68,29.09,0.353454,37381,,,,,,0.310093,0.495161,5.54951
uniform,1,186,37514,0.05,1.0,133,131.73,29.54,0.405525,37514,,,,,,0.368691,0.541966,6.016647
uniform,1,187,37616,0.05,-1.0,102,24.29,131.89,0.359953,37616,,,,,,0.319726,0.495799,5.628655
uniform,1,188,37736,0.05,-1.0,120,27.4,131.8,0.394999,37736,,,,,,0.33893,0.529878,5.895262
uniform,1,189,37840,0.05,-1.0,104,26.68,131.88,0.527872,37840,,,,,,0.483934,0.659619,6.923366
uniform,1,190,38136,0.05,-1.0,296,26.52,130.92,0.366133,38136,,,,,,0.304784,0.51646,5.61537
uniform,1,191,38247,0.05,1.0,111,131.84,24.25,0.475264,38247,,,,,,0.410978,0.62888,6.45485
uniform,1,192,38447,0.05,-1.0,200,26.6,131.4,0.346811,38447,,,,,,0.295759,0.491951,5.499014
uniform,1,193,38564,0.05,1.0,117,131.81,26.42,0.396959,38564,,,,,,0.346655,0.537259,5.915044
uniform,1,194,38682,0.05,-1.0,118,27.21,131.81,0.407139,38682,,,,,,0.357841,0.543564,6.011242
uniform,1,195,38825,0.05,1.0,143,131.68,26.29,0.287686,38825,,,,,,0.235592,0.420886,4.919175
