replay_type,seed,episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
uniform,1,157,55596,0.05,,400,9.0,7.4,2.103401,10000,,,,,,-0.350609,2.545357,11.102098
uniform,1,158,55996,0.05,,400,9.8,7.4,1.937179,10000,,,,,,-0.35091,2.369704,11.27281
uniform,1,159,56396,0.05,,400,7.4,6.4,1.781798,10000,,,,,,-0.346306,2.212224,10.636777
uniform,1,160,56796,0.05,,400,7.0,6.6,1.851196,10000,,,,,,-0.276282,2.285491,10.173584
uniform,1,161,57196,0.05,,400,10.2,14.6,1.975793,10000,,,,,,-0.216683,2.411079,10.543989
uniform,1,162,57596,0.05,,400,5.6,4.8,2.24364,10000,,,,,,-0.37293,2.689172,11.149998
uniform,1,163,57996,0.05,,400,8.2,6.4,2.101481,10000,,,,,,-0.333277,2.542447,11.40485
uniform,1,164,58396,0.05,,400,12.8,8.8,2.003178,10000,,,,,,-0.391967,2.443454,11.189098
uniform,1,165,58796,0.05,,400,8.0,11.8,2.113001,10000,,,,,,-0.351779,2.556022,11.393333
uniform,1,166,59196,0.05,,400,9.2,9.6,2.090948,10000,,,,,,-0.451674,2.532363,11.614451
uniform,1,167,59596,0.05,,400,11.8,6.6,1.964621,10000,,,,,,-0.367918,2.406575,10.243438
uniform,1,168,59996,0.05,,400,8.2,7.4,1.898072,10000,,,,,,-0.416512,2.332802,11.348496
uniform,1,169,60396,0.05,,400,10.6,9.6,1.963613,10000,,,,,,-0.352374,2.399474,11.504839
uniform,1,170,60796,0.05,,400,11.6,12.2,2.377714,10000,,,,,,-0.294794,2.823215,12.389434
uniform,1,171,61196,0.05,,400,7.6,7.6,2.205846,10000,,,,,,-0.241313,2.650491,11.022679
uniform,1,172,61596,0.05,,400,10.0,5.8,2.230651,10000,,,,,,-0.477964,2.673898,12.254648
uniform,1,173,61996,0.05,,400,16.0,9.2,2.312035,10000,,,,,,-0.519424,2.756985,12.732195
uniform,1,174,62396,0.05,,400,10.6,10.4,2.022254,10000,,,,,,-0.366414,2.462171,11.281283
uniform,1,175,62796,0.05,,400,10.6,8.4,2.339229,10000,,,,,,-0.418585,2.788204,11.836871
uniform,1,176,63196,0.05,,400,10.6,6.0,2.321705,10000,,,,,,-0.432419,2.767499,12.892661
uniform,1,177,63596,0.05,,400,7.8,6.0,2.187997,10000,,,,,,-0.331982,2.632871,12.057201
uniform,1,178,63996,0.05,,400,12.4,6.8,2.328016,10000,,,,,,-0.365352,2.773106,12.431501
uniform,1,179,64396,0.05,,400,11.4,6.4,2.319659,10000,,,,,,-0.490195,2.765766,12.896263
uniform,1,180,64796,0.05,,400,9.2,7.4,2.447596,10000,,,,,,-0.387726,2.8957,13.072606
uniform,1,181,65196,0.05,,400,10.4,7.2,2.777817,10000,,,,,,-0.513967,3.230687,14.00185
uniform,1,182,65596,0.05,,400,4.8,4.8,2.313713,10000,,,,,,-0.393443,2.760399,12.467313
uniform,1,183,65996,0.05,,400,8.4,9.4,2.487893,10000,,,,,,-0.550565,2.938686,12.902076
uniform,1,184,66396,0.05,,400,8.4,8.4,2.384493,10000,,,,,,-0.477987,2.830476,13.577585
uniform,1,185,66796,0.05,,400,6.2,12.0,2.360904,10000,,,,,,-0.574498,2.805067,13.719241
uniform,1,186,67196,0.05,,400,7.8,10.0,2.29982,10000,,,,,,-0.408405,2.747914,11.944516
uniform,1,187,67596,0.05,,400,7.2,10.8,2.520026,10000,,,,,,-0.586374,2.970971,13.562675
uniform,1,188,67996,0.05,,400,6.4,6.8,2.397263,10000,,,,,,-0.479712,2.84774,12.661876
uniform,1,189,68396,0.05,,400,8.2,6.0,2.756182,10000,,,,,,-0.495836,3.212866,13.0374
uniform,1,190,68796,0.05,,400,10.0,7.6,2.360284,10000,,,,,,-0.56664,2.807128,13.092627
uniform,1,191,69196,0.05,,400,9.0,9.4,2.379952,10000,,,,,,-0.563407,2.826564,13.412245
uniform,1,192,69596,0.05,,400,4.0,8.0,2.358451,10000,,,,,,-0.496451,2.807471,13.140094
uniform,1,193,69996,0.05,,400,8.0,15.2,2.37756,10000,,,,,,-0.48321,2.825054,13.229534
uniform,1,194,70396,0.05,,400,9.2,11.8,2.656718,10000,,,,,,-0.617835,3.107922,14.956529
